year,city,country,avg_temp
1849,San Francisco,United States,14.12
1850,San Francisco,United States,13.8
1851,San Francisco,United States,14.39
1852,San Francisco,United States,13.81
1853,San Francisco,United States,14.4
1854,San Francisco,United States,13.98
1855,San Francisco,United States,14.2
1856,San Francisco,United States,14.1
1857,San Francisco,United States,14.78
1858,San Francisco,United States,14.19
1859,San Francisco,United States,13.71
1860,San Francisco,United States,13.81
1861,San Francisco,United States,14.88
1862,San Francisco,United States,14.43
1863,San Francisco,United States,14.43
1864,San Francisco,United States,15.18
1865,San Francisco,United States,14.32
1866,San Francisco,United States,14.67
1867,San Francisco,United States,14.46
1868,San Francisco,United States,14.25
1869,San Francisco,United States,14.57
1870,San Francisco,United States,14.19
1871,San Francisco,United States,14.34
1872,San Francisco,United States,14.63
1873,San Francisco,United States,14.46
1874,San Francisco,United States,14.09
1875,San Francisco,United States,14.76
1876,San Francisco,United States,14.44
1877,San Francisco,United States,15.03
1878,San Francisco,United States,14.37
1879,San Francisco,United States,14.2
1880,San Francisco,United States,13.22
1881,San Francisco,United States,14.39
1882,San Francisco,United States,13.58
1883,San Francisco,United States,13.93
1884,San Francisco,United States,14.05
1885,San Francisco,United States,15.05
1886,San Francisco,United States,14.58
1887,San Francisco,United States,14.38
1888,San Francisco,United States,14.7
1889,San Francisco,United States,14.81
1890,San Francisco,United States,14.05
1891,San Francisco,United States,14.46
1892,San Francisco,United States,14.05
1893,San Francisco,United States,13.4
1894,San Francisco,United States,13.8
1895,San Francisco,United States,13.95
1896,San Francisco,United States,14.22
1897,San Francisco,United States,13.81
1898,San Francisco,United States,13.77
1899,San Francisco,United States,14.04
1900,San Francisco,United States,14.64
1901,San Francisco,United States,14.34
1902,San Francisco,United States,14.07
1903,San Francisco,United States,14.12
1904,San Francisco,United States,14.5
1905,San Francisco,United States,14.39
1906,San Francisco,United States,14.81
1907,San Francisco,United States,14.34
1908,San Francisco,United States,14.01
1909,San Francisco,United States,14.05
1910,San Francisco,United States,14.17
1911,San Francisco,United States,13.46
1912,San Francisco,United States,13.95
1913,San Francisco,United States,14.38
1914,San Francisco,United States,14.33
1915,San Francisco,United States,14.3
1916,San Francisco,United States,13.61
1917,San Francisco,United States,14.06
1918,San Francisco,United States,14.14
1919,San Francisco,United States,13.6
1920,San Francisco,United States,13.72
1921,San Francisco,United States,14.24
1922,San Francisco,United States,13.61
1923,San Francisco,United States,14.13
1924,San Francisco,United States,14.1
1925,San Francisco,United States,14.34
1926,San Francisco,United States,15.14
1927,San Francisco,United States,14.24
1928,San Francisco,United States,14.32
1929,San Francisco,United States,14.25
1930,San Francisco,United States,14.25
1931,San Francisco,United States,14.93
1932,San Francisco,United States,14.24
1933,San Francisco,United States,13.93
1934,San Francisco,United States,15.31
1935,San Francisco,United States,14.12
1936,San Francisco,United States,15.13
1937,San Francisco,United States,14.36
1938,San Francisco,United States,14.35
1939,San Francisco,United States,14.81
1940,San Francisco,United States,15.12
1941,San Francisco,United States,14.98
1942,San Francisco,United States,14.2
1943,San Francisco,United States,14.72
1944,San Francisco,United States,14.17
1945,San Francisco,United States,14.41
1946,San Francisco,United States,13.83
1947,San Francisco,United States,14.51
1948,San Francisco,United States,13.65
1949,San Francisco,United States,13.9
1950,San Francisco,United States,14.66
1951,San Francisco,United States,14.06
1952,San Francisco,United States,14.11
1953,San Francisco,United States,14.42
1954,San Francisco,United States,14.18
1955,San Francisco,United States,13.74
1956,San Francisco,United States,14.08
1957,San Francisco,United States,14.59
1958,San Francisco,United States,15.41
1959,San Francisco,United States,15.39
1960,San Francisco,United States,14.59
1961,San Francisco,United States,14.65
1962,San Francisco,United States,14.22
1963,San Francisco,United States,14.19
1964,San Francisco,United States,14.24
1965,San Francisco,United States,14.14
1966,San Francisco,United States,14.74
1967,San Francisco,United States,14.5
1968,San Francisco,United States,14.66
1969,San Francisco,United States,14.51
1970,San Francisco,United States,14.76
1971,San Francisco,United States,13.89
1972,San Francisco,United States,14.25
1973,San Francisco,United States,14.58
1974,San Francisco,United States,14.41
1975,San Francisco,United States,13.82
1976,San Francisco,United States,14.72
1977,San Francisco,United States,14.63
1978,San Francisco,United States,14.96
1979,San Francisco,United States,14.99
1980,San Francisco,United States,14.74
1981,San Francisco,United States,15.22
1982,San Francisco,United States,14
1983,San Francisco,United States,15.07
1984,San Francisco,United States,14.97
1985,San Francisco,United States,14.23
1986,San Francisco,United States,15
1987,San Francisco,United States,14.95
1988,San Francisco,United States,15.08
1989,San Francisco,United States,14.45
1990,San Francisco,United States,14.73
1991,San Francisco,United States,14.5
1992,San Francisco,United States,15.53
1993,San Francisco,United States,14.97
1994,San Francisco,United States,14.21
1995,San Francisco,United States,15.31
1996,San Francisco,United States,15.56
1997,San Francisco,United States,15.75
1998,San Francisco,United States,14.38
1999,San Francisco,United States,14.41
2000,San Francisco,United States,15.02
2001,San Francisco,United States,15.25
2002,San Francisco,United States,15
2003,San Francisco,United States,15.43
2004,San Francisco,United States,15.37
2005,San Francisco,United States,15.17
2006,San Francisco,United States,15.02
2007,San Francisco,United States,14.94
2008,San Francisco,United States,15.05
2009,San Francisco,United States,15.02
2010,San Francisco,United States,14.67
2011,San Francisco,United States,14.5
2012,San Francisco,United States,15.05
2013,San Francisco,United States,16.23